Year,Force,HOMICIDE,Harassment,Kidnapping,TOTAL ROBBERY,Domestic burglary,Shoplifting,TOTAL THEFT OFFENCES,Arson,Criminal damage,TOTAL DRUG OFFENCES,TOTAL POSSESSION OF           WEAPONS OFFENCES,TOTAL  - ALL OFFENCES
2004,Metropolitan Police,195,16075,816,39033,63084,39764,535057,3936,130576,33011,9120,970734
2004,Norfolk,2,252,20,324,2046,3668,30105,761,16594,1602,490,64339
2004,North Wales,14,217,12,149,1585,3051,22204,462,14555,1833,418,53080
2004,North Yorkshire,12,302,21,328,2921,3607,30298,429,13078,1678,356,59658
2004,Northamptonshire,6,545,33,875,4448,3747,38789,656,16134,1477,384,71018
2004,Northumbria,17,606,47,1176,7897,8775,64816,1913,39032,4636,1238,138894
2004,Nottinghamshire,21,635,37,2011,12274,7648,84231,1470,27506,2722,843,141051
2004,South Wales,13,896,35,543,6477,6586,66617,1248,26068,3705,768,121459
2004,South Yorkshire,16,782,46,1131,10495,6591,73874,1645,33516,3013,911,137942
2004,Staffordshire,7,1035,43,777,4713,5064,45061,849,21987,2689,546,98681
2004,Suffolk,5,266,29,260,1787,2856,23049,571,12119,1974,480,50272
2004,Surrey,11,313,35,462,3779,3622,35654,601,16559,1904,400,68009
2004,Sussex,21,1420,54,1228,6836,7738,69554,1376,29191,3343,1366,136460
2004,Thames Valley,26,2847,76,1968,11846,10897,114753,1502,35556,6167,1173,200063
2004,Warwickshire,4,121,10,353,2668,1918,23462,402,9309,914,190,41921
2004,West Mercia,12,866,61,531,4785,5745,46192,873,20949,2278,601,92247
2004,West Midlands,68,4028,232,9165,19119,14344,142945,2425,53162,8089,2581,280883
2004,West Yorkshire,41,2266,93,2196,18985,11368,137009,2688,60397,5666,1366,259112
2004,Wiltshire,6,104,12,256,2177,2440,21212,312,8675,1066,306,38951
2005,Avon and Somerset,9,1266,66,2036,7843,8655,78377,1388,29184,4642,1052,150795
2005,Bedfordshire,9,269,44,1317,3596,3741,31658,482,10273,1228,579,56679
2005,British Transport Police,42,44,19,2166,4,1594,40020,238,12361,3150,696,75364
2005,Cambridgeshire,10,348,36,562,3076,3760,35767,689,13883,1442,464,64687
2005,Cheshire,15,568,33,654,4716,6267,45112,1049,23687,1748,512,93758
2005,Cleveland,6,280,39,715,4185,4924,33624,771,17605,1822,417,71060
2005,Cumbria,5,167,20,87,1214,2686,15857,538,12945,1568,241,41719
2005,Derbyshire,6,719,23,772,4133,3550,38850,750,18136,1680,490,79146
2005,Devon and Cornwall,17,747,42,566,4949,7431,56528,1185,29896,4147,770,121747
2005,Dorset,2,847,19,255,2153,3543,28743,670,11810,1703,392,56997
2005,Durham,11,287,24,281,2350,2565,22756,620,15585,1299,445,52401
2005,Dyfed-Powys,2,105,12,40,801,1455,10181,256,7587,2495,305,29461
2005,Essex,21,1335,45,1424,6135,9607,67322,914,29483,2889,996,129820
2005,Gloucestershire,2,402,32,476,2370,3354,25719,542,10557,1352,326,51027
2005,Greater Manchester,45,1462,223,7719,24536,14396,166135,2890,72096,8843,2477,322778
2005,Gwent,5,277,27,316,2177,2960,25190,610,12102,1412,300,52759
2005,Hampshire,10,1743,77,1078,5810,11670,79202,1313,40661,4037,983,170620
